uniprot_id,gene,group,z,module
A0A0U1RRL7,MMP24OS,Young_Pre,-0.40173593513627537,green
A0A0U1RRL7,MMP24OS,Young_Post,-1.1183446173330909,green
A0A0U1RRL7,MMP24OS,Old_Pre,1.2251161368770562,green
A0A0U1RRL7,MMP24OS,Old_Post,0.29496441559232767,green
A0FGR8,ESYT2,Young_Pre,0.19543704144592078,blue
A0FGR8,ESYT2,Young_Post,1.2742965243828397,blue
A0FGR8,ESYT2,Old_Pre,-1.0939728630041199,blue
A0FGR8,ESYT2,Old_Post,-0.3757607028246162,blue
A1L4K1,FSD2,Young_Pre,0.7367331082468158,brown
A1L4K1,FSD2,Young_Post,0.9613215923110053,brown
A1L4K1,FSD2,Old_Pre,-1.0627915197816329,brown
A1L4K1,FSD2,Old_Post,-0.6352631807761765,brown
A2RTX5,TARS3,Young_Pre,-0.8243986202229158,turquoise
A2RTX5,TARS3,Young_Post,-0.8789767135157189,turquoise
A2RTX5,TARS3,Old_Pre,1.0719410303815873,turquoise
A2RTX5,TARS3,Old_Post,0.6314343033571425,turquoise
A3KMH1,VWA8,Young_Pre,-0.7229919896330953,turquoise
A3KMH1,VWA8,Young_Post,-0.9389449481463054,turquoise
A3KMH1,VWA8,Old_Pre,1.1585717157441116,turquoise
A3KMH1,VWA8,Old_Post,0.5033652220353085,turquoise
A5YM72,CARNS1,Young_Pre,-0.1689963579083119,blue
A5YM72,CARNS1,Young_Post,1.3750252548887119,blue
A5YM72,CARNS1,Old_Pre,-1.023426704053757,blue
A5YM72,CARNS1,Old_Post,-0.18260219292665142,blue
A6NCE7,MAP1LC3B2,Young_Pre,1.3639342129053014,black
A6NCE7,MAP1LC3B2,Young_Post,0.0930639902594512,black
A6NCE7,MAP1LC3B2,Old_Pre,-0.9150475866616777,black
A6NCE7,MAP1LC3B2,Old_Post,-0.5419506165030393,black
A8MU46,SMTNL1,Young_Pre,0.682846892744488,red
A8MU46,SMTNL1,Young_Post,0.9338843236303938,red
A8MU46,SMTNL1,Old_Pre,-0.38725381890465405,red
A8MU46,SMTNL1,Old_Post,-1.2294773974703077,red
A8MXV4,NUDT19,Young_Pre,1.2783447518441882,pink
A8MXV4,NUDT19,Young_Post,0.2707088386668369,pink
A8MXV4,NUDT19,Old_Pre,-0.9898961372734388,pink
A8MXV4,NUDT19,Old_Post,-0.5591574532376359,pink
E9PAV3,NACA,Young_Pre,0.2384865400901741,blue
E9PAV3,NACA,Young_Post,1.3028131903609594,blue
E9PAV3,NACA,Old_Pre,-0.9409430413557404,blue
E9PAV3,NACA,Old_Post,-0.6003566890953457,blue
L0R6Q1,SLC35A4,Young_Pre,0.9651354318839532,brown
L0R6Q1,SLC35A4,Young_Post,0.552275368149982,brown
L0R6Q1,SLC35A4,Old_Pre,-1.3119855044067696,brown
L0R6Q1,SLC35A4,Old_Post,-0.20542529562712428,brown
O00151,PDLIM1,Young_Pre,-0.7822709196759131,turquoise
O00151,PDLIM1,Young_Post,-0.9390115378933644,turquoise
O00151,PDLIM1,Old_Pre,0.9722272730837273,turquoise
O00151,PDLIM1,Old_Post,0.7490551844855747,turquoise
O00159,MYO1C,Young_Pre,-1.2269815759645655,turquoise
O00159,MYO1C,Young_Post,-0.14519683306995879,turquoise
O00159,MYO1C,Old_Pre,1.2018397734940185,turquoise
O00159,MYO1C,Old_Post,0.17033863554053788,turquoise
O00217,NDUFS8,Young_Pre,0.5586952353232569,green
O00217,NDUFS8,Young_Post,-1.498583618300874,green
O00217,NDUFS8,Old_Pre,0.4842914344161158,green
O00217,NDUFS8,Old_Post,0.45559694856147975,green
O00231,PSMD11,Young_Pre,0.05121674742268609,red
O00231,PSMD11,Young_Post,1.3253225078211357,red
O00231,PSMD11,Old_Pre,-1.0713276744193438,red
O00231,PSMD11,Old_Post,-0.3052115808244778,red
O00232,PSMD12,Young_Pre,0.6195218243539905,magenta
O00232,PSMD12,Young_Post,1.065807357252167,magenta
O00232,PSMD12,Old_Pre,-0.6693438459546697,magenta
O00232,PSMD12,Old_Post,-1.0159853356514879,magenta
O00299,CLIC1,Young_Pre,-0.670731178905986,black
O00299,CLIC1,Young_Post,1.1413271038814996,black
O00299,CLIC1,Old_Pre,-0.9892083899548066,black
O00299,CLIC1,Old_Post,0.5186124649792686,black
O00303,EIF3F,Young_Pre,-1.4901041248764264,purple
O00303,EIF3F,Young_Post,0.550520916813942,purple
O00303,EIF3F,Old_Pre,0.6022833296975117,purple
O00303,EIF3F,Old_Post,0.33729987836504505,purple
O00330,PDHX,Young_Pre,0.7496652860635417,pink
